knn,A1Benchmark/real_7.csv,300,13,1044,41,25,0.79,5,20.0
knn,A1Benchmark/real_7.csv,300,13,1048,37,25,1.01,5,30.0
knn,A1Benchmark/real_7.csv,300,12,1052,33,26,0.72,5,40.0
knn,A1Benchmark/real_7.csv,300,11,1054,31,27,0.83,5,50.0
knn,A1Benchmark/real_7.csv,300,11,1057,28,27,0.87,5,60.0
knn,A1Benchmark/real_7.csv,300,10,1060,25,28,0.88,5,70.0
knn,A1Benchmark/real_7.csv,300,9,1064,21,29,0.78,5,80.0
knn,A1Benchmark/real_7.csv,300,8,1066,19,30,0.69,5,90.0
knn,A1Benchmark/real_7.csv,300,8,1071,14,30,0.88,5,100.0
knn,A1Benchmark/real_7.csv,350,21,983,52,17,0.83,5,10.0
knn,A1Benchmark/real_7.csv,350,13,994,41,25,0.80,5,20.0
knn,A1Benchmark/real_7.csv,350,12,1002,33,26,0.88,5,40.0
knn,A1Benchmark/real_7.csv,350,11,1004,31,27,0.67,5,50.0
knn,A1Benchmark/real_7.csv,350,13,998,37,25,0.91,5,30.0
knn,A1Benchmark/real_7.csv,350,9,1014,21,29,0.85,5,80.0
knn,A1Benchmark/real_7.csv,350,11,1007,28,27,0.72,5,60.0
knn,A1Benchmark/real_7.csv,350,8,1021,14,30,0.80,5,100.0
knn,A1Benchmark/real_7.csv,350,10,1011,24,28,0.69,5,70.0
knn,A1Benchmark/real_7.csv,350,8,1017,18,30,0.71,5,90.0
knn,A1Benchmark/real_7.csv,400,21,933,52,17,0.69,5,10.0
knn,A1Benchmark/real_7.csv,400,13,944,41,25,0.99,5,20.0
knn,A1Benchmark/real_7.csv,400,13,948,37,25,0.77,5,30.0
knn,A1Benchmark/real_7.csv,400,12,952,33,26,0.81,5,40.0
knn,A1Benchmark/real_7.csv,400,11,954,31,27,1.00,5,50.0
knn,A1Benchmark/real_7.csv,400,11,957,28,27,0.74,5,60.0
knn,A1Benchmark/real_7.csv,400,10,961,24,28,0.78,5,70.0
knn,A1Benchmark/real_7.csv,400,8,964,21,30,0.68,5,80.0
knn,A1Benchmark/real_7.csv,400,8,967,18,30,0.85,5,90.0
knn,A1Benchmark/real_7.csv,400,8,971,14,30,0.81,5,100.0
knn,A1Benchmark/real_7.csv,450,13,894,41,25,0.89,5,20.0
knn,A1Benchmark/real_7.csv,450,21,883,52,17,0.92,5,10.0
knn,A1Benchmark/real_7.csv,450,11,904,31,27,0.70,5,50.0
knn,A1Benchmark/real_7.csv,450,12,902,33,26,0.66,5,40.0
knn,A1Benchmark/real_7.csv,450,13,898,37,25,0.71,5,30.0
knn,A1Benchmark/real_7.csv,450,11,907,28,27,0.74,5,60.0
knn,A1Benchmark/real_7.csv,450,8,914,21,30,0.93,5,80.0
knn,A1Benchmark/real_7.csv,450,8,917,18,30,1.03,5,90.0
knn,A1Benchmark/real_7.csv,450,10,911,24,28,0.79,5,70.0
knn,A1Benchmark/real_7.csv,450,8,921,14,30,0.93,5,100.0
knn,A1Benchmark/real_7.csv,500,21,833,52,17,0.82,5,10.0
knn,A1Benchmark/real_7.csv,500,13,848,37,25,0.72,5,30.0
knn,A1Benchmark/real_7.csv,500,13,844,41,25,0.78,5,20.0
knn,A1Benchmark/real_7.csv,500,12,852,33,26,0.86,5,40.0
knn,A1Benchmark/real_7.csv,500,11,854,31,27,0.97,5,50.0
knn,A1Benchmark/real_7.csv,500,11,857,28,27,0.77,5,60.0
knn,A1Benchmark/real_7.csv,500,8,867,18,30,0.73,5,90.0
knn,A1Benchmark/real_7.csv,500,8,864,21,30,0.93,5,80.0
knn,A1Benchmark/real_7.csv,500,10,861,24,28,0.88,5,70.0
knn,A1Benchmark/real_7.csv,500,8,871,14,30,0.70,5,100.0
