lof,smtp.mat,5,2,89185,5936,28,1.71
lof,smtp.mat,10,2,89184,5932,28,1.78
lof,smtp.mat,10,2,92560,2556,28,2.25
lof,smtp.mat,50,2,89143,5933,28,2.58
lof,smtp.mat,50,11,92735,2341,19,2.97
lof,smtp.mat,50,2,92518,2558,28,4.09
lof,smtp.mat,100,2,89094,5932,28,4.55
lof,smtp.mat,50,21,92603,2473,9,10.82
lof,smtp.mat,100,2,92468,2558,28,8.17
lof,smtp.mat,100,11,92688,2338,19,6.76
lof,smtp.mat,100,21,92553,2473,9,10.19
lof,smtp.mat,150,2,89052,5924,28,3.35
lof,smtp.mat,150,2,92422,2554,28,3.57
lof,smtp.mat,150,11,92640,2336,19,3.89
lof,smtp.mat,150,21,92502,2474,9,4.76
lof,smtp.mat,200,2,89003,5923,28,3.60
lof,smtp.mat,200,2,92376,2550,28,4.20
lof,smtp.mat,200,11,92591,2335,19,8.33
lof,smtp.mat,200,21,92455,2471,9,7.08
lof,smtp.mat,250,2,88957,5919,28,6.57
lof,smtp.mat,250,2,92328,2548,28,5.14
lof,smtp.mat,250,11,92537,2339,19,4.55
lof,smtp.mat,250,21,92410,2466,9,10.55
lof,smtp.mat,300,2,88910,5916,28,3.70
lof,smtp.mat,300,2,92273,2553,28,5.53
lof,smtp.mat,300,11,92487,2339,19,5.62
lof,smtp.mat,300,21,92361,2465,9,6.29
lof,smtp.mat,350,2,88868,5908,28,4.69
lof,smtp.mat,350,2,92225,2551,28,3.09
lof,smtp.mat,350,11,92441,2335,19,4.45
lof,smtp.mat,350,21,92313,2463,9,4.99
lof,smtp.mat,400,2,88830,5896,28,5.32
lof,smtp.mat,400,2,92176,2550,28,4.58
lof,smtp.mat,400,11,92397,2329,19,5.00
lof,smtp.mat,400,21,92264,2462,9,4.71
lof,smtp.mat,450,2,88777,5899,28,5.96
lof,smtp.mat,450,2,92118,2558,28,5.76
lof,smtp.mat,450,11,92353,2323,19,6.55
lof,smtp.mat,450,21,92215,2461,9,7.32
lof,smtp.mat,500,2,88735,5891,28,2.45
lof,smtp.mat,500,2,92074,2552,28,4.19
lof,smtp.mat,500,11,92310,2316,19,5.25
lof,smtp.mat,500,21,92167,2459,9,5.60
